filename1, filename2, unique_id_cast1, unique_id_cast2, same_moment_diff_loc_cruise, diff_records_in_same_Moment&Loc_cruise, scaled_records, rounded_truncate, wrong_location, wrong_date, wrong_moments, wrong_country, wrong_instru_types, identical_info, interpolated_pairs, CTD multiple observations, Instrument_cast1, Instrument_cast2, Accession_cast1, Accession_cast2, lat_cast1, lat_cast2, lon_cast1, lon_cast2, year_cast1, year_cast2, month_cast1, month_cast2, day_cast1, day_cast2, hour_cast1, hour_cast2, minute_cast1, minute_cast2,probe_type_cast1, probe_type_cast2, recorder_cast1, recorder_cast2, depth_number_cast1, depth_number_cast2, maximum_depth_cast1, maximum_depth_cast2, country_cast1, country_cast2, GMT_time_cast1, GMT_time_cast2, dbase_orig_cast1, dbase_orig_cast2,project_cast1, project_cast2, Platform_cast1, Platform_cast2, ocean_vehicle_cast1, ocean_vehicle_cast2, WOD_cruise_identifier1,WOD_cruise_identifier2,Institute1,Institute2,need_z_fix1,need_z_fix2,sum_depth_cast1, sum_depth_cast2, sum_temp_cast1, sum_temp_cast2, sum_salinity_cast1, sum_salinity_cast2
   wod_007275043O.nc,   wod_007275048O.nc,             7275043,             7275048, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.2833,    25.3833,  133.2500,   133.0000, 1995,  1995,  6,   6,  4,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.5000,         27.5000,         0.0000,          0.0000,
   wod_007275020O.nc,   wod_007275021O.nc,             7275020,             7275021, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   38.1667,    38.6000,  137.3333,   137.3333, 1995,  1995,  6,   6,  4,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        17.0000,         17.0000,         0.0000,          0.0000,
   wod_007274746O.nc,   wod_007274747O.nc,             7274746,             7274747, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.9167,    25.9000,  129.0000,   128.7500, 1995,  1995,  6,   6,  3,   3, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        25.9000,         25.9000,         0.0000,          0.0000,
   wod_007274796O.nc,   wod_007275004O.nc,             7274796,             7275004, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   26.0833,    25.6333,  131.0000,   132.2500, 1995,  1995,  6,   6,  3,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.7000,         27.7000,         0.0000,          0.0000,
   wod_007274799O.nc,   wod_007275004O.nc,             7274799,             7275004, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   26.0833,    25.6333,  130.0667,   132.2500, 1995,  1995,  6,   6,  3,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.7000,         27.7000,         0.0000,          0.0000,
   wod_007274514O.nc,   wod_007274515O.nc,             7274514,             7274515, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   37.7667,    37.7833,  138.2667,   138.1000, 1995,  1995,  6,   6,  2,   2, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        15.8000,         15.8000,         0.0000,          0.0000,
   wod_007275310O.nc,   wod_007275315O.nc,             7275310,             7275315, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   34.6333,    34.5833,  138.5500,   138.2333, 1995,  1995,  6,   6,  5,   5, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,            ASHITAKA,             ASHITAKA,                    ,                     ,            JP121965,             JP121965,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        19.7000,         19.7000,         0.0000,          0.0000,
   wod_007274796O.nc,   wod_007275047O.nc,             7274796,             7275047, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   26.0833,    25.7333,  131.0000,   132.0000, 1995,  1995,  6,   6,  3,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.7000,         27.7000,         0.0000,          0.0000,
   wod_007275010O.nc,   wod_007275240O.nc,             7275010,             7275240, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.8333,    25.1167,  131.7500,   135.1167, 1995,  1995,  6,   6,  4,   5, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        26.7000,         26.7000,         0.0000,          0.0000,
   wod_007275240O.nc,   wod_007275242O.nc,             7275240,             7275242, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.1167,    25.4000,  135.1167,   135.7500, 1995,  1995,  6,   6,  5,   5, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        26.7000,         26.7000,         0.0000,          0.0000,
